DAUID,longitude,latitude
62,-79.39701163,42.93552806
140,-80.10250821,44.18954213
144,-80.060777,44.0194835
142,-80.23416491,43.98083147
145,-80.36719431,43.95173864
143,-80.29147875,44.14938961
141,-80.20671889,44.08210858
146,-80.24536983,43.84416981
109,-78.11150767,44.45354503
111,-78.34487324,44.43770204
104,-78.45571724,44.19425242
106,-78.22385914,44.24057562
108,-78.00757501,44.34360024
1,-79.37291976,43.64904045
2,-79.45203487,43.65284104
3,-79.47338345,43.69453738
4,-79.39790239,43.70940386
5,-79.3508517,43.74162309
6,-79.32572825,43.68573227
7,-79.5180586,43.60668764
8,-79.54246782,43.65601325
9,-79.58796191,43.72194941
10,-79.51106882,43.74949411
11,-79.42185572,43.77176368
12,-79.35136009,43.78910198
13,-79.26335635,43.74727936
14,-79.23391665,43.72111009
15,-79.16848916,43.7840281
16,-79.2473849,43.81131222
17,-79.08615807,44.33560109
18,-79.18806865,44.11688859
19,-78.92040397,44.12207831
20,-79.1142123,43.91194621
21,-79.0275201,43.86916075
22,-78.96523824,43.93315282
23,-78.87827453,43.94890593
24,-78.65489502,43.97938783
103,-78.32472524,44.30582662
89,-78.81516428,44.51872205
135,-79.24248638,44.62902997
136,-79.42077884,44.60574257
133,-79.59443411,44.54778111
134,-79.52454173,44.76849301
132,-79.77800863,44.7211389
131,-79.88805852,44.74832027
129,-80.01410429,44.746466
130,-79.91467987,44.78889631
25,-79.33974681,44.29089365
26,-79.40778756,44.13934518
27,-79.4611562,44.04915213
30,-79.32281774,44.01054914
29,-79.42748139,43.90353455
28,-79.44720769,43.99588646
31,-79.29504956,43.87920752
33,-79.56384653,43.83473996
32,-79.60853239,43.97454814
83,-79.61700902,44.12049247
84,-79.77792215,44.08406581
85,-79.9348452,44.11363114
82,-79.60569026,44.28254011
81,-79.68902606,44.36870799
88,-79.82862226,44.48997738
87,-80.09760761,44.37836647
128,-80.03285019,44.49858924
127,-80.22940732,44.50162954
34,-79.90227616,43.84901245
39,-79.71805769,43.45311615
38,-79.9436741,43.51922151
37,-79.94162429,43.62382051
80,-80.10981843,43.91522981
40,-79.84403226,43.38063908
41,-80.0664271,43.33482733
42,-79.94631158,43.27180751
70,-80.23683311,43.5327935
124,-80.30634399,43.12137815
147,-80.27147972,43.14982294
43,-80.03394737,43.20028467
44,-79.83408491,43.13305633
46,-79.84419917,43.23676661
45,-79.71103081,43.19525991
61,-79.57074172,43.06818965
51,-79.5757314,43.17640593
52,-79.4199479,43.14508899
53,-79.33486285,43.04059549
55,-79.25291531,43.16310413
56,-79.22552086,43.07803422
58,-79.22882917,42.99159824
59,-79.19308124,42.91406138
60,-79.02763005,42.91678146
57,-79.10067845,43.0506577
54,-79.12390362,43.19870443
35,-79.75226122,43.71547911
36,-79.66108786,43.59938157
68,-80.72778395,43.54464462
63,-80.5445234,43.48026894
69,-80.49115584,43.55776663
64,-80.47003303,43.42082827
65,-80.32839223,43.40066805
67,-80.65107378,43.39727331
66,-80.3619329,43.33037652
71,-80.17359933,43.46233347
72,-80.24883039,43.60733294
73,-80.38667943,43.71607968
79,-80.11444689,43.74473022
86,-79.83338717,44.26245368
